address,prices,Rooms,Square_in_m^2,floor,Type,Year,District
 Аль-Фараби,70 000 000 〒,3, 91.8, 8/12,['монолитный дом'],['1990 г.п.'],['Бостандыкский р-н']
 Шевченко 154 — Муканова,97 000 000 〒,3, 129, 7/18,['монолитный дом'],['2008 г.п.'],['Алмалинский р-н']
 Жарокова 370,51 906 000 〒,2, 63.3,,[],['2023 г.п.'],['Бостандыкский р-н']
 Алатауская трасса,57 520 000 〒,4, 143.8,,[],['2023 г.п.'],[]
 мкр Рахат 6/1 — Байжанов,7 700 000 〒,1, 32.1, 1/1,['кирпичный дом'],['1979 г.п.'],['Алатауский р-н']
 Бузурбаева 17 — Ниже Гоголя,44 000 000 〒,2, 67, 4/4,['кирпичный дом'],['1968 г.п.'],['Медеуский р-н']
" мкр 13-й военный городок, Суюнбая 292/1 — 16 военный городок",37 500 000 〒,3, 90, 2/2,['кирпичный дом'],['1974 г.п.'],['Турксибский р-н']
 Райымбека 351/1,19 504 530 〒,1, 40.89,,[],['2024 г.п.'],['Алатауский р-н']
 Булкушева — Сейфуллина,23 940 000 〒,1, 42,,[],['2023 г.п.'],['Жетысуский р-н']
 Жамакаева 254,148 512 000 〒,4, 185.64,,['Клубный дом'],['2023 г.п.'],['Медеуский р-н']
" Момышулы, севернее ул. Монке би",18 059 600 〒,1, 39.26,,['пятиэтажных дом'],['2023 г.п.'],['Алатауский р-н']
 Есенова 160/3,23 960 000 〒,1, 47.92,,[],['2022 г.п.'],['Жетысуский р-н']
" мкр Мадениет, мкр. Мадениет 185/8",16 337 000 〒,2, 52.7,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Тастак-2, Шевченко 166а — Ауэзова",32 500 000 〒,1, 36, 2/5,['кирпичный дом'],['1976 г.п.'],['Алмалинский р-н']
" мкр Кайрат, Туркестан 115",16 636 400 〒,1, 37.81,,[],['2024 г.п.'],['Турксибский р-н']
" мкр Айнабулак-2, Айнабулак 33/2",14 640 000 〒,1, 36.6,,[],['2024 г.п.'],['Жетысуский р-н']
 Райымбека — Суюнбая,63 629 480 〒,3, 101.8,,[],['2024 г.п.'],[]
" мкр Таусамалы, Жандосова 70а",55 200 000 〒,4, 115,,[],['2023 г.п.'],['Наурызбайский р-н']
 вдоль Капчагайской трассы,18 814 000 〒,1, 40.6,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,44 585 000 〒,3, 91.1,,[],['2013 г.п.'],['Наурызбайский р-н']
 Алатауская трасса,57 520 000 〒,4, 143.8,,[],['2023 г.п.'],[]
 мкр Рахат 6/1 — Байжанов,7 700 000 〒,1, 32.1, 1/1,['кирпичный дом'],['1979 г.п.'],['Алатауский р-н']
 Бузурбаева 17 — Ниже Гоголя,44 000 000 〒,2, 67, 4/4,['кирпичный дом'],['1968 г.п.'],['Медеуский р-н']
" мкр 13-й военный городок, Суюнбая 292/1 — 16 военный городок",37 500 000 〒,3, 90, 2/2,['кирпичный дом'],['1974 г.п.'],['Турксибский р-н']
 Райымбека 351/1,19 504 530 〒,1, 40.89,,[],['2024 г.п.'],['Алатауский р-н']
 Булкушева — Сейфуллина,23 940 000 〒,1, 42,,[],['2023 г.п.'],['Жетысуский р-н']
 Жамакаева 254,148 512 000 〒,4, 185.64,,['Клубный дом'],['2023 г.п.'],['Медеуский р-н']
" Момышулы, севернее ул. Монке би",18 059 600 〒,1, 39.26,,['пятиэтажных дом'],['2023 г.п.'],['Алатауский р-н']
 Есенова 160/3,23 960 000 〒,1, 47.92,,[],['2022 г.п.'],['Жетысуский р-н']
" мкр Мадениет, мкр. Мадениет 185/8",16 337 000 〒,2, 52.7,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Тастак-2, Шевченко 166а — Ауэзова",32 500 000 〒,1, 36, 2/5,['кирпичный дом'],['1976 г.п.'],['Алмалинский р-н']
" мкр Кайрат, Туркестан 115",16 636 400 〒,1, 37.81,,[],['2024 г.п.'],['Турксибский р-н']
" мкр Айнабулак-2, Айнабулак 33/2",14 640 000 〒,1, 36.6,,[],['2024 г.п.'],['Жетысуский р-н']
 Райымбека — Суюнбая,63 629 480 〒,3, 101.8,,[],['2024 г.п.'],[]
" мкр Таусамалы, Жандосова 70а",55 200 000 〒,4, 115,,[],['2023 г.п.'],['Наурызбайский р-н']
 вдоль Капчагайской трассы,18 814 000 〒,1, 40.6,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,44 585 000 〒,3, 91.1,,[],['2013 г.п.'],['Наурызбайский р-н']
 Розыбакиева 158,28 080 000 〒,1, 39,,[],['2023 г.п.'],['Бостандыкский р-н']
 Толе Би — Сагадат Нурмагамбетов,77 425 204 〒,2, 82.8,,[],['2024 г.п.'],['Медеуский р-н']
 Аскарова — Саина,70 266 000 〒,3, 100.38,,[],['2023 г.п.'],['Ауэзовский р-н']
 Толе Би — Сагадат Нурмагамбетов,77 425 204 〒,2, 82.8,,[],['2024 г.п.'],['Медеуский р-н']
 Аскарова — Саина,70 266 000 〒,3, 100.38,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,47 685 440 〒,2, 74.26,,[],['2021 г.п.'],['Ауэзовский р-н']
 Аскар Тау 364,354 000 000 〒,5, 295,,[],['2022 г.п.'],['Медеуский р-н']
 Жарокова 218,46 956 000 〒,1, 55.9,,[],['2023 г.п.'],['Бостандыкский р-н']
 ул. Жулдыз-5,59 488 000 〒,3, 114.2,,[],['2022 г.п.'],['Бостандыкский р-н']
 микрорайон Мамыр-1 26,56 700 000 〒,2, 90,,[],['2020 г.п.'],['Ауэзовский р-н']
 Гагарина 310,41 432 055 〒,1, 41.51,,[],['2023 г.п.'],['Бостандыкский р-н']
 мкр «Мирас» 31,112 922 000 〒,2, 142,,[],['2016 г.п.'],['Бостандыкский р-н']
 Гагарина 277/7,79 071 300 〒,3, 114.1,,[],['2021 г.п.'],['Бостандыкский р-н']
 Северное кольцо 92/4,20 020 000 〒,1, 38,,[],['2022 г.п.'],['Алатауский р-н']
 Проспект Аль-Фараби 144,98 419 200 〒,3, 93.2,,['новый дом'],['2017 г.п.'],['Бостандыкский р-н']
 Халиуллина 196/1,25 500 000 〒,2, 51,,[],['2021 г.п.'],['Медеуский р-н']
 Жандосова 94А,41 259 297 〒,2, 55.7,,[],['2023 г.п.'],['Бостандыкский р-н']
 мкр Курамыс 78,56 295 500 〒,1, 66.23,,[],['2023 г.п.'],['Наурызбайский р-н']
 мкр №1 39а,27 500 000 〒,2, 46, 3/4,['панельный дом'],['1968 г.п.'],['Ауэзовский р-н']
 Розыбакиева 237,71 485 000 〒,2, 84.1,,[],['2022 г.п.'],['Бостандыкский р-н']
 Карасай батыра 119/95,47 280 000 〒,1, 59.2,,[],['2021 г.п.'],['Алмалинский р-н']
 Кенесары Хана 83/4 — Асанбая Аскарова,33 000 000 〒,2, 45, 5/6,['монолитный дом'],['2014 г.п.'],['Бостандыкский р-н']
" мкр Аскартау, Ремизовка",84 468 700 〒,2, 118.97,,[],['2021 г.п.'],['Бостандыкский р-н']
" мкр Коктобе, Сагадат Нурмагамбетова 138/2",147 000 000 〒,4, 134.4,,[],['2023 г.п.'],['Медеуский р-н']
 мкр. Жана Куат 1-1330,15 964 500 〒,2, 55.05,,[],['2023 г.п.'],['Турксибский р-н']
 Шолохова /ахан серы 4,26 000 000 〒,1, 34, 3/3,['кирпичный дом'],['1983 г.п.'],['Турксибский р-н']
" мкр Аскартау, Переулок 5 1",59 000 000 〒,2, 52, 1/3,['кирпичный дом'],['2019 г.п.'],['Бостандыкский р-н']
 Тлендиева 133 — Сатпаева,34 000 000 〒,1, 39, 13,['монолитный дом'],['2023 г.п.'],['Бостандыкский р-н']
 мкр Жулдыз-2 53 — Лавренева,19 900 000 〒,1, 33.9, 2/5,['кирпичный дом'],['1988 г.п.'],['Турксибский р-н']
" мкр Мамыр, Керуентау — Жандосова Яссауи",26 700 000 〒,3, 52.6, 1/2,[],['1964 г.п.'],['Ауэзовский р-н']
 Жарокова 370,52 129 000 〒,2, 67.7,,[],['2023 г.п.'],['Бостандыкский р-н']
 Алатауская трасса,67 400 000 〒,5, 168.5,,[],['2023 г.п.'],[]
 мкр №8 55 — Шаляпина-Мате Залки ( Утеген Батыра),9 300 000 〒,1, 12, 1/4,['панельный дом'],['1975 г.п.'],['Ауэзовский р-н']
 Радостовца 255 — Утепова Радостовца,56 999 999 〒,3, 90, 13/13,['монолитный дом'],['2009 г.п.'],['Бостандыкский р-н']
 Толе би,77 000 000 〒,3, 103.4, 2/13,['монолитный дом'],['2021 г.п.'],['Алмалинский р-н']
 Толе би 206,36 900 000 〒,2, 60.3, 8/9,['панельный дом'],['1985 г.п.'],['Алмалинский р-н']
 вдоль Капчагайской трассы,24 745 600 〒,2, 64,,[],['2023 г.п.'],['Турксибский р-н']
 Кенесары хана 54,44 695 000 〒,3, 88.1,,[],['2013 г.п.'],['Наурызбайский р-н']
" мкр Теректы, Айналмалы 183",19 159 000 〒,2, 54.74,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Мадениет, мкр. Мадениет",18 724 000 〒,2, 60.4,,[],['2023 г.п.'],['Алатауский р-н']
 Аскарова — Саина,70 266 000 〒,3, 100.38,,[],['2023 г.п.'],['Ауэзовский р-н']
 мкр. Астана 1/18,54 103 000 〒,2, 91.6,,[],['2021 г.п.'],['Ауэзовский р-н']
 Байтурсынова 163,28 500 000 〒,1, 31, 2/4,['кирпичный дом'],['1963 г.п.'],['Бостандыкский р-н']
 Жарокова 218,47 090 000 〒,1, 55.4,,[],['2023 г.п.'],['Бостандыкский р-н']
 Шевченко 186,59 000 000 〒,4, 72, 2/5,['кирпичный дом'],['1980 г.п.'],['Алмалинский р-н']
 микрорайон Мамыр-1 26,73 284 000 〒,3, 118.2,,[],['2020 г.п.'],['Ауэзовский р-н']
 мкр Тастак-2 29 — Тлендиева Дуйсенова,37 000 000 〒,3, 65.5, 5/5,['панельный дом'],['1980 г.п.'],['Алмалинский р-н']
 мкр «Мирас» 31,118 030 000 〒,3, 144.4,,[],['2016 г.п.'],['Бостандыкский р-н']
 Гагарина 277/7,80 527 500 〒,3, 119.3,,[],['2021 г.п.'],['Бостандыкский р-н']
 Кармысова 84,105 000 000 〒,3, 73, 3/12,['монолитный дом'],['2021 г.п.'],['Медеуский р-н']
 Сатпаева 74 — Розыбакиева,37 000 000 〒,2, 60, 1/9,[],['1988 г.п.'],['Бостандыкский р-н']
 Мкр «Мирас» 31 — Аскарова,220 000 000 〒,4, 158, 4/6,['монолитный дом'],['2016 г.п.'],['Бостандыкский р-н']
 мкр Аккент,21 529 200 〒,2, 51.26,,[],['2023 г.п.'],['Алатауский р-н']
" мкр Аскартау, Ремизовка 1а",95 183 400 〒,3, 122.03,,[],['2022 г.п.'],['Бостандыкский р-н']
" мкр Коктобе, Сагадат Нурмагамбетова 138/2",149 650 000 〒,4, 138.5,,[],['2023 г.п.'],['Медеуский р-н']
 20-я улица 284,45 000 000 〒,6, 199,,[],['2022 г.п.'],['Турксибский р-н']
